GeoID,Geography,Time,Value,CI,Note,Indicator
1,New York City,2022,10.305,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,New York City,2021,11.3987,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,New York City,2020,10.91,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,New York City,2019,10.68,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,New York City,2018,11.72,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,New York City,2017,12.9,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,New York City,2016,15.58,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,New York City,2015,17.4521,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,New York City,2014,19.48,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,New York City,2013,16.68,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,New York City,2012,18.7,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,New York City,2011,23.16,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,New York City,2010,20.71,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,New York City,2009,23.21,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,Bronx,2022,10.8741,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,Bronx,2021,11.481,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,Bronx,2020,11.11,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,Bronx,2019,11.69,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,Bronx,2018,12.29,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,Bronx,2017,13.55,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,Bronx,2016,15.44,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,Bronx,2015,18.14,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,Bronx,2014,20.64,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,Bronx,2013,17.63,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,Bronx,2012,19.55,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,Bronx,2011,24.33,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,Bronx,2010,22.03,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
1,Bronx,2009,26.11,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
2,Brooklyn,2022,13.3441,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
2,Brooklyn,2021,12.7388,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
2,Brooklyn,2020,12.03,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
2,Brooklyn,2019,11.44,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
2,Brooklyn,2018,13.48,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
2,Brooklyn,2017,14.65,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
2,Brooklyn,2016,17.36,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
2,Brooklyn,2015,18.49,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
2,Brooklyn,2014,20.84,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
2,Brooklyn,2013,16.7,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
2,Brooklyn,2012,18.77,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
2,Brooklyn,2011,23.73,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
2,Brooklyn,2010,21.24,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
2,Brooklyn,2009,23.13,,,Nitric oxide (NOx): Nitric oxide (NOx) Mean (ppb) by Borough
